Date,Monitoring_Station,Season,Latitude,Longitude,AOD,PM2.5,Wind Speed,Wind Dir,Temperature,RH,Solar Rad,BP,Rain,V Wind Speed
2014-01-06,Agrabad,Winter,22.323153,91.802209,0.839841176,130.81714285714287,2.16,337.5825,20.02,60.256249999999994,13.92875,1014.13125,0.14,
2014-01-07,Agrabad,Winter,22.323153,91.802209,0.464947059,171.8995238095238,2.811818181818182,173.52136363636362,19.14090909090909,67.08909090909091,108.1509090909091,1015.4540909090908,0.51,
2014-01-08,Agrabad,Winter,22.323153,91.802209,0.581517647,126.16291666666666,3.2716666666666665,235.79291666666666,18.648333333333333,56.114583333333336,140.77541666666667,1016.4070833333334,0.56,
2014-01-09,Agrabad,Winter,22.323153,91.802209,0.3213,148.7715,2.2129166666666666,188.18166666666664,17.731666666666666,62.33375,141.15041666666667,1015.1679166666667,0.25,
2014-01-10,Agrabad,Winter,22.323153,91.802209,0.208894118,149.22571428571428,2.0714285714285716,196.58428571428573,18.205714285714286,66.27428571428571,98.76190476190476,1015.1742857142857,0.15,
2014-01-11,Agrabad,Winter,22.323153,91.802209,0.112405882,136.22692307692307,1.8929166666666666,143.45208333333332,19.835,69.23166666666667,162.24416666666667,1015.8120833333334,0.28,
2014-01-12,Agrabad,Winter,22.323153,91.802209,1.173270588,209.0327777777778,1.6566666666666667,154.20000000000002,19.223684210526315,72.27315789473684,138.5142105263158,1017.5573684210526,0.12,
2014-01-13,Agrabad,Winter,22.323153,91.802209,0.560047059,125.76916666666666,2.1966666666666668,258.6670833333333,20.84125,62.37958333333333,131.01041666666666,1016.3504166666667,0.45,
2014-01-14,Agrabad,Winter,22.323153,91.802209,0.855605882,162.62875,1.6591666666666667,201.1525,19.8525,70.29041666666667,128.62708333333333,1015.7104166666667,0.2,
2014-01-15,Agrabad,Winter,22.323153,91.802209,0.900714286,193.1982608695652,1.77375,186.66708333333335,17.936666666666667,84.02833333333334,108.40041666666667,1016.815,0.27,
2014-01-16,Agrabad,Winter,22.323153,91.802209,0.703835294,178.04208333333335,1.8879166666666667,217.04625,17.322083333333335,80.07083333333334,105.54416666666667,1017.8695833333333,0.2,
2014-01-17,Agrabad,Winter,22.323153,91.802209,0.379682353,181.863,1.8314285714285714,209.70190476190476,18.11047619047619,81.76380952380953,103.67190476190477,1017.1714285714285,0.29,
2014-01-18,Agrabad,Winter,22.323153,91.802209,0.376988095,170.76913043478262,1.4016666666666666,142.145,20.929166666666667,77.22833333333334,140.96875,1018.2912499999999,0.19,
2014-01-19,Agrabad,Winter,22.323153,91.802209,0.556094118,177.89541666666665,1.08,201.37249999999997,21.076666666666668,71.18708333333333,141.56125,1019.23,0.09,
2014-01-20,Agrabad,Winter,22.323153,91.802209,0.523047059,141.63666666666668,2.7175,155.27416666666667,21.82041666666667,58.303333333333335,141.45624999999998,1019.2533333333332,0.43,
2014-01-21,Agrabad,Winter,22.323153,91.802209,0.370035294,135.84166666666667,2.1075,226.05416666666667,20.355416666666667,70.07291666666667,147.94041666666666,1018.6654166666667,0.23,
2014-01-22,Agrabad,Winter,22.323153,91.802209,0.265852941,133.31791666666666,2.0404166666666668,167.88333333333333,21.855,61.614583333333336,154.06333333333333,1018.0083333333333,0.25,
2014-01-23,Agrabad,Winter,22.323153,91.802209,0.251664706,117.96041666666667,1.4058333333333335,168.75458333333333,22.581666666666667,57.44541666666667,154.56791666666666,1016.71125,0.1,
2014-01-24,Agrabad,Winter,22.323153,91.802209,0.383670588,164.91545454545454,1.5391666666666666,195.05416666666667,22.13416666666667,63.09916666666667,139.15541666666667,1015.1654166666667,0.21000000000000002,
2014-01-25,Agrabad,Winter,22.323153,91.802209,0.4379,126.29333333333334,2.86,304.62375000000003,22.337083333333336,58.84583333333333,146.00708333333333,1014.2441666666667,0.63,
2014-01-26,Agrabad,Winter,22.323153,91.802209,0.481582353,114.79749999999999,2.959090909090909,237.91909090909093,20.673181818181817,63.73909090909091,151.67818181818183,1015.6190909090909,0.57,
2014-01-27,Agrabad,Winter,22.323153,91.802209,0.356623529,117.3208695652174,2.465,265.04,20.17833333333333,61.229166666666664,165.79666666666665,1015.6333333333333,0.51,
2014-01-30,Agrabad,Winter,22.323153,91.802209,0.177782353,116.05458333333333,2.0341666666666667,180.00625,21.35166666666667,60.64208333333334,176.15833333333333,1015.80375,0.27,
2014-01-31,Agrabad,Winter,22.323153,91.802209,0.224623529,157.7075,2.1495833333333336,217.31291666666667,21.692916666666665,59.78458333333333,167.9575,1015.7520833333333,0.39,
2014-02-01,Agrabad,Winter,22.323153,91.802209,0.275,172.05166666666665,2.3283333333333336,245.92791666666668,21.045652173913044,71.01173913043478,162.14583333333334,1015.0204166666667,0.47,
