Date,Monitoring_Station,Geo_Zone,Latitude,Longitude,Season,AOD,AOD_Loading,PM2.5,Wind_Origin,Humidity_Profile,Temp_Profile,Rain_Status,Wind Speed,Wind Dir,Temperature,RH,Solar Rad,BP,Rain,V Wind Speed
2014-01-06,Agrabad,Coastal,22.323153,91.802209,Winter,0.839841176,High AOD (>0.8),130.81714285714287,Continental (Polluted),Moderate (50-75%),Warm (20-28°C),Light Rain,2.16,337.5825,20.02,60.25625,13.92875,1014.13125,0.14,
2014-01-07,Agrabad,Coastal,22.323153,91.802209,Winter,0.464947059,Moderate AOD (0.3-0.8),150.49690201730726,Marine (Clean),Moderate (50-75%),Cool (<20°C),Light Rain,2.811818181818182,173.52136363636362,19.14090909090909,67.08909090909091,108.1509090909091,1015.4540909090908,0.51,
2014-01-08,Agrabad,Coastal,22.323153,91.802209,Winter,0.581517647,Moderate AOD (0.3-0.8),142.50507163463965,Marine (Clean),Moderate (50-75%),Cool (<20°C),Light Rain,3.2716666666666665,235.79291666666663,18.648333333333333,56.114583333333336,140.77541666666667,1016.4070833333334,0.56,
2014-01-09,Agrabad,Coastal,22.323153,91.802209,Winter,0.3213,Moderate AOD (0.3-0.8),144.0895494459841,Marine (Clean),Moderate (50-75%),Cool (<20°C),Light Rain,2.212916666666666,188.18166666666664,17.731666666666666,62.33375,141.15041666666667,1015.1679166666668,0.25,
2014-01-10,Agrabad,Coastal,22.323153,91.802209,Winter,0.208894118,Low AOD (<0.3),145.15859828515818,Marine (Clean),Moderate (50-75%),Cool (<20°C),Light Rain,2.071428571428572,196.58428571428573,18.205714285714286,66.27428571428571,98.76190476190476,1015.1742857142856,0.15,
2014-01-11,Agrabad,Coastal,22.323153,91.802209,Winter,0.112405882,Low AOD (<0.3),143.55913818895823,Marine (Clean),Moderate (50-75%),Cool (<20°C),Light Rain,1.8929166666666664,143.45208333333332,19.835,69.23166666666667,162.24416666666667,1015.8120833333334,0.28,
2014-01-12,Agrabad,Coastal,22.323153,91.802209,Winter,1.173270588,High AOD (>0.8),153.9702173145896,Marine (Clean),Moderate (50-75%),Cool (<20°C),Light Rain,1.6566666666666667,154.20000000000002,19.223684210526315,72.27315789473684,138.5142105263158,1017.5573684210526,0.12,
2014-01-13,Agrabad,Coastal,22.323153,91.802209,Winter,0.560047059,Moderate AOD (0.3-0.8),149.89300480330286,Marine (Clean),Moderate (50-75%),Warm (20-28°C),Light Rain,2.1966666666666668,258.6670833333333,20.84125,62.37958333333333,131.01041666666666,1016.3504166666668,0.45,
2014-01-14,Agrabad,Coastal,22.323153,91.802209,Winter,0.855605882,High AOD (>0.8),151.59808732748164,Marine (Clean),Moderate (50-75%),Cool (<20°C),Light Rain,1.659166666666667,201.1525,19.8525,70.29041666666667,128.62708333333333,1015.7104166666668,0.2,
2014-01-15,Agrabad,Coastal,22.323153,91.802209,Winter,0.900714286,High AOD (>0.8),156.83071034185804,Marine (Clean),Humid (>75%),Cool (<20°C),Light Rain,1.77375,186.66708333333327,17.936666666666667,84.02833333333334,108.40041666666669,1016.815,0.27,
